date,states,cases,number
2020-02-22,massachusetts,deaths,0
2020-02-22,nebraska,confirmed,11
2020-02-22,nebraska,deaths,0
2020-02-22,texas,confirmed,4
2020-02-22,texas,deaths,0
2020-02-22,washington,confirmed,1
2020-02-22,washington,deaths,0
2020-02-22,wisconsin,confirmed,1
2020-02-22,wisconsin,deaths,0
2020-02-23,arizona,confirmed,1
2020-02-23,arizona,deaths,0
2020-02-23,california,confirmed,9
2020-02-23,california,deaths,0
2020-02-23,illinois,confirmed,2
2020-02-23,illinois,deaths,0
2020-02-23,massachusetts,confirmed,1
2020-02-23,massachusetts,deaths,0
2020-02-23,nebraska,confirmed,11
2020-02-23,nebraska,deaths,0
2020-02-23,texas,confirmed,4
2020-02-23,texas,deaths,0
2020-02-23,washington,confirmed,1
2020-02-23,washington,deaths,0
2020-02-23,wisconsin,confirmed,1
2020-02-23,wisconsin,deaths,0
2020-02-24,arizona,confirmed,1
2020-02-24,arizona,deaths,0
2020-02-24,california,confirmed,11
2020-02-24,california,deaths,0
2020-02-24,illinois,confirmed,2
2020-02-24,illinois,deaths,0
2020-02-24,massachusetts,confirmed,1
2020-02-24,massachusetts,deaths,0
2020-02-24,nebraska,confirmed,12
2020-02-24,nebraska,deaths,0
2020-02-24,texas,confirmed,10
2020-02-24,texas,deaths,0
2020-02-24,washington,confirmed,5
2020-02-24,washington,deaths,0
2020-02-24,wisconsin,confirmed,1
2020-02-24,wisconsin,deaths,0
2020-02-25,arizona,confirmed,1
2020-02-25,arizona,deaths,0
2020-02-25,california,confirmed,11
2020-02-25,california,deaths,0
2020-02-25,illinois,confirmed,2
2020-02-25,illinois,deaths,0
2020-02-25,massachusetts,confirmed,1
2020-02-25,massachusetts,deaths,0
2020-02-25,nebraska,confirmed,13
2020-02-25,nebraska,deaths,0
2020-02-25,texas,confirmed,10
2020-02-25,texas,deaths,0
2020-02-25,utah,confirmed,1
2020-02-25,utah,deaths,0
2020-02-25,washington,confirmed,5
2020-02-25,washington,deaths,0
2020-02-25,wisconsin,confirmed,1
2020-02-25,wisconsin,deaths,0
2020-02-26,arizona,confirmed,1
2020-02-26,arizona,deaths,0
2020-02-26,california,confirmed,26
2020-02-26,california,deaths,0
2020-02-26,illinois,confirmed,2
2020-02-26,illinois,deaths,0
2020-02-26,massachusetts,confirmed,1
2020-02-26,massachusetts,deaths,0
2020-02-26,nebraska,confirmed,13
2020-02-26,nebraska,deaths,0
2020-02-26,texas,confirmed,10
2020-02-26,texas,deaths,0
2020-02-26,utah,confirmed,1
2020-02-26,utah,deaths,0
2020-02-26,washington,confirmed,5
2020-02-26,washington,deaths,0
2020-02-26,wisconsin,confirmed,1
2020-02-26,wisconsin,deaths,0
2020-02-27,arizona,confirmed,1
2020-02-27,arizona,deaths,0
2020-02-27,california,confirmed,26
2020-02-27,california,deaths,0
2020-02-27,illinois,confirmed,2
2020-02-27,illinois,deaths,0
2020-02-27,massachusetts,confirmed,1
2020-02-27,massachusetts,deaths,0
2020-02-27,nebraska,confirmed,13
2020-02-27,nebraska,deaths,0
2020-02-27,texas,confirmed,10
2020-02-27,texas,deaths,0
2020-02-27,utah,confirmed,1
2020-02-27,utah,deaths,0
2020-02-27,washington,confirmed,5
2020-02-27,washington,deaths,0
2020-02-27,wisconsin,confirmed,1
2020-02-27,wisconsin,deaths,0
2020-02-28,arizona,confirmed,1
2020-02-28,arizona,deaths,0
2020-02-28,california,confirmed,27
2020-02-28,california,deaths,0
2020-02-28,illinois,confirmed,2
2020-02-28,illinois,deaths,0
2020-02-28,massachusetts,confirmed,1
2020-02-28,massachusetts,deaths,0
2020-02-28,nebraska,confirmed,13
2020-02-28,nebraska,deaths,0
2020-02-28,oregon,confirmed,1
2020-02-28,oregon,deaths,0
2020-02-28,texas,confirmed,11
2020-02-28,texas,deaths,0
2020-02-28,utah,confirmed,1
2020-02-28,utah,deaths,0
2020-02-28,washington,confirmed,7
2020-02-28,washington,deaths,0
2020-02-28,wisconsin,confirmed,1
2020-02-28,wisconsin,deaths,0
2020-02-29,arizona,confirmed,1
2020-02-29,arizona,deaths,0
2020-02-29,california,confirmed,28
2020-02-29,california,deaths,0
2020-02-29,illinois,confirmed,3
2020-02-29,illinois,deaths,0
2020-02-29,massachusetts,confirmed,1
2020-02-29,massachusetts,deaths,0
2020-02-29,nebraska,confirmed,13
2020-02-29,nebraska,deaths,0
2020-02-29,oregon,confirmed,1
2020-02-29,oregon,deaths,0
2020-02-29,texas,confirmed,11
2020-02-29,texas,deaths,0
2020-02-29,utah,confirmed,1
2020-02-29,utah,deaths,0
2020-02-29,washington,confirmed,10
2020-02-29,washington,deaths,1
2020-02-29,wisconsin,confirmed,1
2020-02-29,wisconsin,deaths,0
2020-03-01,arizona,confirmed,1
2020-03-01,arizona,deaths,0
2020-03-01,california,confirmed,33
2020-03-01,california,deaths,0
2020-03-01,florida,confirmed,2
2020-03-01,florida,deaths,0
2020-03-01,illinois,confirmed,3
2020-03-01,illinois,deaths,0
2020-03-01,massachusetts,confirmed,1
2020-03-01,massachusetts,deaths,0
2020-03-01,nebraska,confirmed,13
2020-03-01,nebraska,deaths,0
2020-03-01,new york,confirmed,1
2020-03-01,new york,deaths,0
2020-03-01,oregon,confirmed,2
2020-03-01,oregon,deaths,0
2020-03-01,rhode island,confirmed,2
2020-03-01,rhode island,deaths,0
2020-03-01,texas,confirmed,11
2020-03-01,texas,deaths,0
2020-03-01,utah,confirmed,1
2020-03-01,utah,deaths,0
2020-03-01,washington,confirmed,17
2020-03-01,washington,deaths,3
2020-03-01,wisconsin,confirmed,1
2020-03-01,wisconsin,deaths,0
2020-03-02,arizona,confirmed,1
2020-03-02,arizona,deaths,0
2020-03-02,california,confirmed,38
2020-03-02,california,deaths,0
2020-03-02,florida,confirmed,2
2020-03-02,florida,deaths,0
2020-03-02,georgia,confirmed,2
2020-03-02,georgia,deaths,0
2020-03-02,illinois,confirmed,4
2020-03-02,illinois,deaths,0
2020-03-02,massachusetts,confirmed,2
2020-03-02,massachusetts,deaths,0
2020-03-02,nebraska,confirmed,13
2020-03-02,nebraska,deaths,0
2020-03-02,new hampshire,confirmed,1
2020-03-02,new hampshire,deaths,0
2020-03-02,new york,confirmed,1
2020-03-02,new york,deaths,0
2020-03-02,oregon,confirmed,2
2020-03-02,oregon,deaths,0
2020-03-02,rhode island,confirmed,2
2020-03-02,rhode island,deaths,0
2020-03-02,texas,confirmed,11
2020-03-02,texas,deaths,0
2020-03-02,utah,confirmed,1
2020-03-02,utah,deaths,0
2020-03-02,washington,confirmed,23
2020-03-02,washington,deaths,6
2020-03-02,wisconsin,confirmed,1
2020-03-02,wisconsin,deaths,0
2020-03-03,arizona,confirmed,2
2020-03-03,arizona,deaths,0
2020-03-03,california,confirmed,45
2020-03-03,california,deaths,0
2020-03-03,florida,confirmed,3
2020-03-03,florida,deaths,0
2020-03-03,georgia,confirmed,2
2020-03-03,georgia,deaths,0
2020-03-03,illinois,confirmed,4
2020-03-03,illinois,deaths,0
2020-03-03,massachusetts,confirmed,2
2020-03-03,massachusetts,deaths,0
2020-03-03,nebraska,confirmed,13
2020-03-03,nebraska,deaths,0
2020-03-03,new hampshire,confirmed,2
2020-03-03,new hampshire,deaths,0
2020-03-03,new york,confirmed,2
2020-03-03,new york,deaths,0
2020-03-03,north carolina,confirmed,1
2020-03-03,north carolina,deaths,0
2020-03-03,oregon,confirmed,2
2020-03-03,oregon,deaths,0
2020-03-03,rhode island,confirmed,2
2020-03-03,rhode island,deaths,0
2020-03-03,texas,confirmed,11
2020-03-03,texas,deaths,0
2020-03-03,utah,confirmed,1
2020-03-03,utah,deaths,0
2020-03-03,washington,confirmed,32
2020-03-03,washington,deaths,10
2020-03-03,wisconsin,confirmed,1
2020-03-03,wisconsin,deaths,0
2020-03-04,arizona,confirmed,2
2020-03-04,arizona,deaths,0
2020-03-04,california,confirmed,55
2020-03-04,california,deaths,1
2020-03-04,florida,confirmed,3
2020-03-04,florida,deaths,0
2020-03-04,georgia,confirmed,2
2020-03-04,georgia,deaths,0
2020-03-04,illinois,confirmed,4
2020-03-04,illinois,deaths,0
2020-03-04,massachusetts,confirmed,2
2020-03-04,massachusetts,deaths,0
2020-03-04,nebraska,confirmed,13
2020-03-04,nebraska,deaths,0
2020-03-04,new hampshire,confirmed,2
2020-03-04,new hampshire,deaths,0
2020-03-04,new jersey,confirmed,1
2020-03-04,new jersey,deaths,0
2020-03-04,new york,confirmed,11
2020-03-04,new york,deaths,0
2020-03-04,north carolina,confirmed,1
2020-03-04,north carolina,deaths,0
2020-03-04,oregon,confirmed,2
2020-03-04,oregon,deaths,0
2020-03-04,rhode island,confirmed,2
2020-03-04,rhode island,deaths,0
2020-03-04,texas,confirmed,12
2020-03-04,texas,deaths,0
2020-03-04,utah,confirmed,1
2020-03-04,utah,deaths,0
2020-03-04,washington,confirmed,47
2020-03-04,washington,deaths,11
2020-03-04,wisconsin,confirmed,1
2020-03-04,wisconsin,deaths,0
2020-03-05,arizona,confirmed,2
2020-03-05,arizona,deaths,0
2020-03-05,california,confirmed,67
2020-03-05,california,deaths,1
2020-03-05,colorado,confirmed,2
2020-03-05,colorado,deaths,0
2020-03-05,florida,confirmed,4
2020-03-05,florida,deaths,0
2020-03-05,georgia,confirmed,2
2020-03-05,georgia,deaths,0
2020-03-05,illinois,confirmed,5
2020-03-05,illinois,deaths,0
2020-03-05,maryland,confirmed,3
2020-03-05,maryland,deaths,0
2020-03-05,massachusetts,confirmed,3
2020-03-05,massachusetts,deaths,0
2020-03-05,nebraska,confirmed,13
2020-03-05,nebraska,deaths,0
2020-03-05,nevada,confirmed,2
2020-03-05,nevada,deaths,0
2020-03-05,new hampshire,confirmed,2
2020-03-05,new hampshire,deaths,0
2020-03-05,new jersey,confirmed,2
2020-03-05,new jersey,deaths,0
2020-03-05,new york,confirmed,22
2020-03-05,new york,deaths,0
2020-03-05,north carolina,confirmed,1
2020-03-05,north carolina,deaths,0
2020-03-05,oregon,confirmed,2
2020-03-05,oregon,deaths,0
2020-03-05,rhode island,confirmed,2
2020-03-05,rhode island,deaths,0
2020-03-05,tennessee,confirmed,1
2020-03-05,tennessee,deaths,0
2020-03-05,texas,confirmed,16
2020-03-05,texas,deaths,0
2020-03-05,utah,confirmed,1
2020-03-05,utah,deaths,0
2020-03-05,washington,confirmed,75
2020-03-05,washington,deaths,11
2020-03-05,wisconsin,confirmed,1
2020-03-05,wisconsin,deaths,0
2020-03-06,arizona,confirmed,3
2020-03-06,arizona,deaths,0
2020-03-06,california,confirmed,81
2020-03-06,california,deaths,1
2020-03-06,colorado,confirmed,8
2020-03-06,colorado,deaths,0
2020-03-06,florida,confirmed,7
2020-03-06,florida,deaths,2
2020-03-06,georgia,confirmed,3
2020-03-06,georgia,deaths,0
2020-03-06,hawaii,confirmed,1
2020-03-06,hawaii,deaths,0
2020-03-06,illinois,confirmed,6
2020-03-06,illinois,deaths,0
2020-03-06,indiana,confirmed,1
2020-03-06,indiana,deaths,0
2020-03-06,kentucky,confirmed,1
2020-03-06,kentucky,deaths,0
2020-03-06,maryland,confirmed,3
2020-03-06,maryland,deaths,0
2020-03-06,massachusetts,confirmed,8
2020-03-06,massachusetts,deaths,0
